Date,Average Viewers,Peak Viewers,Peak Channels,Peak Players,Game Rank (Total),Game Updates,Esports Schedule
2016/9/8,0,0,0,0,Unavailable,,
2016/9/9,0,0,0,0,Unavailable,,
2016/9/10,0,0,0,0,Unavailable,,
2016/9/11,0,0,0,0,Unavailable,,
2016/9/12,0,0,0,0,Unavailable,,
2016/9/13,0,0,0,0,Unavailable,,
2016/9/14,0,0,0,0,Unavailable,,
2016/9/15,0,0,0,0,Unavailable,,
2016/9/16,0,0,0,0,Unavailable,,
2016/9/17,0,0,0,0,Unavailable,,
2016/9/18,0,0,0,0,Unavailable,,
2016/9/19,0,0,0,0,Unavailable,,
2016/9/20,0,0,0,0,Unavailable,,
2016/9/21,0,0,0,0,Unavailable,,
2016/9/22,0,0,0,0,Unavailable,,
2016/9/23,0,0,0,0,Unavailable,,
2016/9/24,0,0,0,0,Unavailable,,
2016/9/25,0,0,0,0,Unavailable,,
2016/9/26,0,0,0,0,Unavailable,,
2016/9/27,0,0,0,0,Unavailable,,
2016/9/28,0,0,0,0,Unavailable,,
2016/9/29,0,0,0,0,Unavailable,,
2016/9/30,0,0,0,0,Unavailable,,
2016/10/1,0,0,0,0,Unavailable,,
2016/10/2,0,0,0,0,Unavailable,,
2016/10/3,0,0,0,0,Unavailable,,
2016/10/4,0,0,0,0,Unavailable,,
2016/10/5,0,0,0,0,Unavailable,,
2016/10/6,0,0,0,0,Unavailable,,
2016/10/7,0,0,0,0,Unavailable,,
2016/10/8,0,0,0,0,Unavailable,,
2016/10/9,0,0,0,0,Unavailable,,
2016/10/10,0,0,0,0,Unavailable,,
2016/10/11,0,0,0,0,Unavailable,,
2016/10/12,0,0,0,0,Unavailable,,
2016/10/13,0,0,0,0,Unavailable,,
2016/10/14,0,0,0,0,Unavailable,,
2016/10/15,0,0,0,0,Unavailable,,
2016/10/16,0,0,0,0,Unavailable,,
2016/10/17,0,0,0,0,Unavailable,,
2016/10/18,0,0,0,0,Unavailable,,
2016/10/19,0,0,0,0,Unavailable,,
2016/10/20,0,0,0,0,Unavailable,,
2016/10/21,0,0,0,0,Unavailable,,
2016/10/22,0,0,0,0,Unavailable,,
2016/10/23,0,0,0,0,Unavailable,,
2016/10/24,0,0,0,0,Unavailable,,
2016/10/25,0,0,0,0,Unavailable,,
2016/10/26,0,0,0,0,Unavailable,,
2016/10/27,0,0,0,0,Unavailable,,
2016/10/28,0,0,0,0,Unavailable,,
2016/10/29,0,0,0,0,Unavailable,,
2016/10/30,0,0,0,0,Unavailable,,
2016/10/31,0,0,0,0,Unavailable,,
2016/11/1,0,0,0,0,Unavailable,,
2016/11/2,0,0,0,0,Unavailable,,
2016/11/3,0,0,0,0,Unavailable,,
2016/11/4,0,0,0,0,Unavailable,,
2016/11/5,0,0,0,0,Unavailable,,
2016/11/6,0,0,0,0,Unavailable,,
2016/11/7,0,0,0,0,Unavailable,,
2016/11/8,0,0,0,0,Unavailable,,
2016/11/9,0,0,0,0,Unavailable,,
2016/11/10,0,0,0,0,Unavailable,,
2016/11/11,0,0,0,0,Unavailable,,
2016/11/12,0,0,0,0,Unavailable,,
2016/11/13,0,0,0,0,Unavailable,,
2016/11/14,0,0,0,0,Unavailable,,
2016/11/15,0,0,0,0,Unavailable,,
2016/11/16,0,0,0,0,Unavailable,,
2016/11/17,0,0,0,0,Unavailable,,
2016/11/18,0,0,0,0,Unavailable,,
2016/11/19,0,0,0,0,Unavailable,,
2016/11/20,0,0,0,0,Unavailable,,
2016/11/21,0,0,0,0,Unavailable,,
2016/11/22,0,0,0,0,Unavailable,,
2016/11/23,0,0,0,0,Unavailable,,
2016/11/24,0,0,0,0,Unavailable,,
2016/11/25,0,0,0,0,Unavailable,,
2016/11/26,0,0,0,0,Unavailable,,
2016/11/27,0,0,0,0,Unavailable,,
2016/11/28,0,0,0,0,Unavailable,,
2016/11/29,0,0,0,0,Unavailable,,
2016/11/30,0,0,0,0,Unavailable,,
2016/12/1,0,0,0,0,Unavailable,,
2016/12/2,0,0,0,0,Unavailable,,
2016/12/3,0,0,0,0,Unavailable,,
2016/12/4,0,0,0,0,Unavailable,,
2016/12/5,0,0,0,0,Unavailable,,
2016/12/6,0,0,0,0,Unavailable,,
2016/12/7,0,0,0,0,Unavailable,,
2016/12/8,0,0,0,0,Unavailable,,
2016/12/9,0,0,0,0,Unavailable,,
2016/12/10,0,0,0,0,Unavailable,,
2016/12/11,0,0,0,0,Unavailable,,
